ICDCMCode,DiagnosisDesc,TotalDiag
H02.713,"CHLOASMA OF RIGHT EYE, UNSP EYELID AND PERIOCULAR AREA",1
H02.716,"CHLOASMA OF LEFT EYE, UNSPECIFIED EYELID AND PERIOCULAR AREA",1
H02.721,MADAROSIS OF RIGHT UPPER EYELID AND PERIOCULAR AREA,1
H02.723,"MADAROSIS OF RIGHT EYE, UNSP EYELID AND PERIOCULAR AREA",1
H02.724,MADAROSIS OF LEFT UPPER EYELID AND PERIOCULAR AREA,1
H02.726,"MADAROSIS OF LEFT EYE, UNSP EYELID AND PERIOCULAR AREA",2
H02.729,"MADAROSIS OF UNSP EYE, UNSP EYELID AND PERIOCULAR AREA",1
H02.733,"VITILIGO OF RIGHT EYE, UNSP EYELID AND PERIOCULAR AREA",2
H02.736,"VITILIGO OF LEFT EYE, UNSPECIFIED EYELID AND PERIOCULAR AREA",3
H02.739,"VITILIGO OF UNSP EYE, UNSPECIFIED EYELID AND PERIOCULAR AREA",3
H02.811,RETAINED FOREIGN BODY IN RIGHT UPPER EYELID,25
H02.812,RETAINED FOREIGN BODY IN RIGHT LOWER EYELID,5
H02.813,"RETAINED FOREIGN BODY IN RIGHT EYE, UNSPECIFIED EYELID",21
H02.814,RETAINED FOREIGN BODY IN LEFT UPPER EYELID,24
H02.815,RETAINED FOREIGN BODY IN LEFT LOWER EYELID,10
H02.816,"RETAINED FOREIGN BODY IN LEFT EYE, UNSPECIFIED EYELID",21
H02.819,"RETAINED FOREIGN BODY IN UNSPECIFIED EYE, UNSPECIFIED EYELID",5
H02.821,CYSTS OF RIGHT UPPER EYELID,36
H02.822,CYSTS OF RIGHT LOWER EYELID,21
H02.823,"CYSTS OF RIGHT EYE, UNSPECIFIED EYELID",12
H02.824,CYSTS OF LEFT UPPER EYELID,37
H02.825,CYSTS OF LEFT LOWER EYELID,19
H02.826,"CYSTS OF LEFT EYE, UNSPECIFIED EYELID",20
H02.829,"CYSTS OF UNSPECIFIED EYE, UNSPECIFIED EYELID",5
H02.831,DERMATOCHALASIS OF RIGHT UPPER EYELID,19
H02.832,DERMATOCHALASIS OF RIGHT LOWER EYELID,3
H02.833,"DERMATOCHALASIS OF RIGHT EYE, UNSPECIFIED EYELID",18
H02.834,DERMATOCHALASIS OF LEFT UPPER EYELID,13
H02.835,DERMATOCHALASIS OF LEFT LOWER EYELID,1
H02.836,"DERMATOCHALASIS OF LEFT EYE, UNSPECIFIED EYELID",16
H02.839,"DERMATOCHALASIS OF UNSPECIFIED EYE, UNSPECIFIED EYELID",9
H02.841,EDEMA OF RIGHT UPPER EYELID,795
H02.842,EDEMA OF RIGHT LOWER EYELID,359
H02.843,"EDEMA OF RIGHT EYE, UNSPECIFIED EYELID",792
H02.844,EDEMA OF LEFT UPPER EYELID,810
H02.845,EDEMA OF LEFT LOWER EYELID,373
H02.846,"EDEMA OF LEFT EYE, UNSPECIFIED EYELID",901
H02.849,"EDEMA OF UNSPECIFIED EYE, UNSPECIFIED EYELID",230
H02.854,ELEPHANTIASIS OF LEFT UPPER EYELID,1
H02.875,VASCULAR ANOMALIES OF LEFT LOWER EYELID,1
H02.876,"VASCULAR ANOMALIES OF LEFT EYE, UNSPECIFIED EYELID",1
H02.881,MEIBOMIAN GLAND DYSFUNCTION RIGHT UPPER EYELID,3
H02.883,"MEIBOMIAN GLAND DYSFUNCTION OF RIGHT EYE, UNSPECIFIED EYELID",66
H02.884,MEIBOMIAN GLAND DYSFUNCTION LEFT UPPER EYELID,4
H02.885,MEIBOMIAN GLAND DYSFUNCTION LEFT LOWER EYELID,5
H02.886,"MEIBOMIAN GLAND DYSFUNCTION OF LEFT EYE, UNSPECIFIED EYELID",63
H02.889,"MEIBOMIAN GLAND DYSFUNCTION OF UNSP, UNSPECIFIED EYELID",51
H02.88A,"MEIBOMIAN GLAND DYSFNCT RIGHT EYE, UPPER AND LOWER EYELIDS",4
H02.88B,"MEIBOMIAN GLAND DYSFNCT LEFT EYE, UPPER AND LOWER EYELIDS",3
H02.89,OTHER SPECIFIED DISORDERS OF EYELID,640
H02.9,UNSPECIFIED DISORDER OF EYELID,319
H04.001,"UNSPECIFIED DACRYOADENITIS, RIGHT LACRIMAL GLAND",27
H04.002,"UNSPECIFIED DACRYOADENITIS, LEFT LACRIMAL GLAND",27
H04.003,"UNSPECIFIED DACRYOADENITIS, BILATERAL LACRIMAL GLANDS",3
H04.009,"UNSPECIFIED DACRYOADENITIS, UNSPECIFIED LACRIMAL GLAND",7
H04.011,"ACUTE DACRYOADENITIS, RIGHT LACRIMAL GLAND",14
H04.012,"ACUTE DACRYOADENITIS, LEFT LACRIMAL GLAND",13
H04.013,"ACUTE DACRYOADENITIS, BILATERAL LACRIMAL GLANDS",1
H04.019,"ACUTE DACRYOADENITIS, UNSPECIFIED LACRIMAL GLAND",4
H04.022,"CHRONIC DACRYOADENITIS, LEFT LACRIMAL GLAND",4
H04.031,CHRONIC ENLARGEMENT OF RIGHT LACRIMAL GLAND,4
H04.032,CHRONIC ENLARGEMENT OF LEFT LACRIMAL GLAND,2
H04.033,CHRONIC ENLARGEMENT OF BILATERAL LACRIMAL GLANDS,1
H04.111,DACRYOPS OF RIGHT LACRIMAL GLAND,2
H04.112,DACRYOPS OF LEFT LACRIMAL GLAND,2
H04.121,DRY EYE SYNDROME OF RIGHT LACRIMAL GLAND,205
H04.122,DRY EYE SYNDROME OF LEFT LACRIMAL GLAND,185
H04.123,DRY EYE SYNDROME OF BILATERAL LACRIMAL GLANDS,1432
H04.129,DRY EYE SYNDROME OF UNSPECIFIED LACRIMAL GLAND,438
H04.131,"LACRIMAL CYST, RIGHT LACRIMAL GLAND",4
H04.132,"LACRIMAL CYST, LEFT LACRIMAL GLAND",3
H04.149,"PRIMARY LACRIMAL GLAND ATROPHY, UNSPECIFIED LACRIMAL GLAND",2
H04.163,"LACRIMAL GLAND DISLOCATION, BILATERAL LACRIMAL GLANDS",1
H04.169,"LACRIMAL GLAND DISLOCATION, UNSPECIFIED LACRIMAL GLAND",1
H04.19,OTHER SPECIFIED DISORDERS OF LACRIMAL GLAND,11
H04.201,"UNSPECIFIED EPIPHORA, RIGHT SIDE",81
H04.202,"UNSPECIFIED EPIPHORA, LEFT SIDE",68
H04.203,"UNSPECIFIED EPIPHORA, BILATERAL",167
H04.209,"UNSPECIFIED EPIPHORA, UNSPECIFIED SIDE",42
H04.211,"EPIPHORA DUE TO EXCESS LACRIMATION, RIGHT LACRIMAL GLAND",6
H04.212,"EPIPHORA DUE TO EXCESS LACRIMATION, LEFT LACRIMAL GLAND",9
H04.213,"EPIPHORA DUE TO EXCESS LACRIMATION, BI LACRIMAL GLANDS",13
H04.219,"EPIPHORA DUE TO EXCESS LACRIMATION, UNSP LACRIMAL GLAND",8
H04.221,"EPIPHORA DUE TO INSUFFICIENT DRAINAGE, RIGHT SIDE",3
H04.222,"EPIPHORA DUE TO INSUFFICIENT DRAINAGE, LEFT SIDE",3
H04.223,"EPIPHORA DUE TO INSUFFICIENT DRAINAGE, BILATERAL",8
H04.229,"EPIPHORA DUE TO INSUFFICIENT DRAINAGE, UNSPECIFIED SIDE",3
H04.301,UNSPECIFIED DACRYOCYSTITIS OF RIGHT LACRIMAL PASSAGE,254
H04.302,UNSPECIFIED DACRYOCYSTITIS OF LEFT LACRIMAL PASSAGE,282
H04.303,UNSPECIFIED DACRYOCYSTITIS OF BILATERAL LACRIMAL PASSAGES,17
H04.309,UNSPECIFIED DACRYOCYSTITIS OF UNSPECIFIED LACRIMAL PASSAGE,56
H04.311,PHLEGMONOUS DACRYOCYSTITIS OF RIGHT LACRIMAL PASSAGE,2
H04.319,PHLEGMONOUS DACRYOCYSTITIS OF UNSPECIFIED LACRIMAL PASSAGE,3
H04.321,ACUTE DACRYOCYSTITIS OF RIGHT LACRIMAL PASSAGE,67
H04.322,ACUTE DACRYOCYSTITIS OF LEFT LACRIMAL PASSAGE,67
H04.323,ACUTE DACRYOCYSTITIS OF BILATERAL LACRIMAL PASSAGES,8
H04.329,ACUTE DACRYOCYSTITIS OF UNSPECIFIED LACRIMAL PASSAGE,2
H04.331,ACUTE LACRIMAL CANALICULITIS OF RIGHT LACRIMAL PASSAGE,6
H04.332,ACUTE LACRIMAL CANALICULITIS OF LEFT LACRIMAL PASSAGE,8
H04.333,ACUTE LACRIMAL CANALICULITIS OF BILATERAL LACRIMAL PASSAGES,1
H04.411,CHRONIC DACRYOCYSTITIS OF RIGHT LACRIMAL PASSAGE,3
H04.412,CHRONIC DACRYOCYSTITIS OF LEFT LACRIMAL PASSAGE,8
H04.413,CHRONIC DACRYOCYSTITIS OF BILATERAL LACRIMAL PASSAGES,2
H04.422,CHRONIC LACRIMAL CANALICULITIS OF LEFT LACRIMAL PASSAGE,1
H04.431,CHRONIC LACRIMAL MUCOCELE OF RIGHT LACRIMAL PASSAGE,3
H04.432,CHRONIC LACRIMAL MUCOCELE OF LEFT LACRIMAL PASSAGE,1
H04.511,DACRYOLITH OF RIGHT LACRIMAL PASSAGE,1
H04.512,DACRYOLITH OF LEFT LACRIMAL PASSAGE,1
H04.522,EVERSION OF LEFT LACRIMAL PUNCTUM,1
H04.531,NEONATAL OBSTRUCTION OF RIGHT NASOLACRIMAL DUCT,31
H04.532,NEONATAL OBSTRUCTION OF LEFT NASOLACRIMAL DUCT,35
H04.533,NEONATAL OBSTRUCTION OF BILATERAL NASOLACRIMAL DUCT,17
H04.539,NEONATAL OBSTRUCTION OF UNSPECIFIED NASOLACRIMAL DUCT,16
H04.541,STENOSIS OF RIGHT LACRIMAL CANALICULI,1
H04.542,STENOSIS OF LEFT LACRIMAL CANALICULI,1
H04.549,STENOSIS OF UNSPECIFIED LACRIMAL CANALICULI,2
H04.551,ACQUIRED STENOSIS OF RIGHT NASOLACRIMAL DUCT,99
H04.552,ACQUIRED STENOSIS OF LEFT NASOLACRIMAL DUCT,98
H04.553,ACQUIRED STENOSIS OF BILATERAL NASOLACRIMAL DUCT,52
H04.559,ACQUIRED STENOSIS OF UNSPECIFIED NASOLACRIMAL DUCT,75
H04.563,STENOSIS OF BILATERAL LACRIMAL PUNCTUM,2
H04.569,STENOSIS OF UNSPECIFIED LACRIMAL PUNCTUM,1
H04.571,STENOSIS OF RIGHT LACRIMAL SAC,2
H04.572,STENOSIS OF LEFT LACRIMAL SAC,3
H04.573,STENOSIS OF BILATERAL LACRIMAL SAC,1
H04.612,LACRIMAL FISTULA LEFT LACRIMAL PASSAGE,1
H04.69,OTHER CHANGES OF LACRIMAL PASSAGES,19
H04.89,OTHER DISORDERS OF LACRIMAL SYSTEM,39
H04.9,"DISORDER OF LACRIMAL SYSTEM, UNSPECIFIED",16
H05.00,UNSPECIFIED ACUTE INFLAMMATION OF ORBIT,7
H05.011,CELLULITIS OF RIGHT ORBIT,396
H05.012,CELLULITIS OF LEFT ORBIT,399
H05.013,CELLULITIS OF BILATERAL ORBITS,26
H05.019,CELLULITIS OF UNSPECIFIED ORBIT,36
H05.021,OSTEOMYELITIS OF RIGHT ORBIT,3
H05.022,OSTEOMYELITIS OF LEFT ORBIT,4
H05.041,TENONITIS OF RIGHT ORBIT,1
H05.042,TENONITIS OF LEFT ORBIT,1
H05.10,UNSPECIFIED CHRONIC INFLAMMATORY DISORDERS OF ORBIT,21
H05.111,GRANULOMA OF RIGHT ORBIT,4
H05.112,GRANULOMA OF LEFT ORBIT,5
H05.113,GRANULOMA OF BILATERAL ORBITS,4
H05.119,GRANULOMA OF UNSPECIFIED ORBIT,2
H05.121,"ORBITAL MYOSITIS, RIGHT ORBIT",6
H05.122,"ORBITAL MYOSITIS, LEFT ORBIT",3
H05.129,"ORBITAL MYOSITIS, UNSPECIFIED ORBIT",1
H05.20,UNSPECIFIED EXOPHTHALMOS,417
H05.211,"DISPLACEMENT (LATERAL) OF GLOBE, RIGHT EYE",3
H05.212,"DISPLACEMENT (LATERAL) OF GLOBE, LEFT EYE",1
H05.219,"DISPLACEMENT (LATERAL) OF GLOBE, UNSPECIFIED EYE",3
H05.221,EDEMA OF RIGHT ORBIT,353
H05.222,EDEMA OF LEFT ORBIT,315
H05.223,EDEMA OF BILATERAL ORBIT,386
H05.229,EDEMA OF UNSPECIFIED ORBIT,76
H05.231,HEMORRHAGE OF RIGHT ORBIT,161
H05.232,HEMORRHAGE OF LEFT ORBIT,186
H05.233,HEMORRHAGE OF BILATERAL ORBIT,13
H05.239,HEMORRHAGE OF UNSPECIFIED ORBIT,55
H05.241,"CONSTANT EXOPHTHALMOS, RIGHT EYE",2
H05.242,"CONSTANT EXOPHTHALMOS, LEFT EYE",4
H05.243,"CONSTANT EXOPHTHALMOS, BILATERAL",1
H05.252,"INTERMITTENT EXOPHTHALMOS, LEFT EYE",4
H05.253,"INTERMITTENT EXOPHTHALMOS, BILATERAL",1
H05.261,"PULSATING EXOPHTHALMOS, RIGHT EYE",1
H05.262,"PULSATING EXOPHTHALMOS, LEFT EYE",2
H05.30,UNSPECIFIED DEFORMITY OF ORBIT,4
H05.321,DEFORMITY OF RIGHT ORBIT DUE TO BONE DISEASE,1
H05.331,DEFORMITY OF RIGHT ORBIT DUE TO TRAUMA OR SURGERY,4
H05.332,DEFORMITY OF LEFT ORBIT DUE TO TRAUMA OR SURGERY,3
H05.339,DEFORMITY OF UNSPECIFIED ORBIT DUE TO TRAUMA OR SURGERY,2
H05.359,EXOSTOSIS OF UNSPECIFIED ORBIT,8
H05.401,"UNSPECIFIED ENOPHTHALMOS, RIGHT EYE",3
H05.402,"UNSPECIFIED ENOPHTHALMOS, LEFT EYE",6
H05.403,"UNSPECIFIED ENOPHTHALMOS, BILATERAL",2
H05.422,"ENOPHTHALMOS DUE TO TRAUMA OR SURGERY, LEFT EYE",1
H05.50,RETAINED (OLD) FB FOLLOWING PENETRATING WOUND OF UNSP ORBIT,2
H05.51,RETAINED (OLD) FB FOLLOWING PENETRATING WOUND OF RIGHT ORBIT,4
H05.52,RETAINED (OLD) FB FOLLOWING PENETRATING WOUND OF LEFT ORBIT,4
H05.53,RETAINED (OLD) FB FOLLOWING PENETRATING WOUND OF BI ORBIT,1
H05.811,CYST OF RIGHT ORBIT,6
H05.812,CYST OF LEFT ORBIT,6
H05.813,CYST OF BILATERAL ORBITS,1
H05.819,CYST OF UNSPECIFIED ORBIT,3
H05.821,"MYOPATHY OF EXTRAOCULAR MUSCLES, RIGHT ORBIT",10
H05.822,"MYOPATHY OF EXTRAOCULAR MUSCLES, LEFT ORBIT",5
H05.823,"MYOPATHY OF EXTRAOCULAR MUSCLES, BILATERAL",1
H05.829,"MYOPATHY OF EXTRAOCULAR MUSCLES, UNSPECIFIED ORBIT",5
H05.89,OTHER DISORDERS OF ORBIT,110
H05.9,UNSPECIFIED DISORDER OF ORBIT,17
H10.011,"ACUTE FOLLICULAR CONJUNCTIVITIS, RIGHT EYE",23
H10.012,"ACUTE FOLLICULAR CONJUNCTIVITIS, LEFT EYE",20
H10.013,"ACUTE FOLLICULAR CONJUNCTIVITIS, BILATERAL",28
H10.019,"ACUTE FOLLICULAR CONJUNCTIVITIS, UNSPECIFIED EYE",1
H10.021,"OTHER MUCOPURULENT CONJUNCTIVITIS, RIGHT EYE",424
H10.022,"OTHER MUCOPURULENT CONJUNCTIVITIS, LEFT EYE",380
H10.023,"OTHER MUCOPURULENT CONJUNCTIVITIS, BILATERAL",709
H10.029,"OTHER MUCOPURULENT CONJUNCTIVITIS, UNSPECIFIED EYE",76
H10.10,"ACUTE ATOPIC CONJUNCTIVITIS, UNSPECIFIED EYE",846
H10.11,"ACUTE ATOPIC CONJUNCTIVITIS, RIGHT EYE",1140
H10.12,"ACUTE ATOPIC CONJUNCTIVITIS, LEFT EYE",1133
H10.13,"ACUTE ATOPIC CONJUNCTIVITIS, BILATERAL",4262
H10.211,"ACUTE TOXIC CONJUNCTIVITIS, RIGHT EYE",963
H10.212,"ACUTE TOXIC CONJUNCTIVITIS, LEFT EYE",1006
H10.213,"ACUTE TOXIC CONJUNCTIVITIS, BILATERAL",1800
H10.219,"ACUTE TOXIC CONJUNCTIVITIS, UNSPECIFIED EYE",183
H10.221,"PSEUDOMEMBRANOUS CONJUNCTIVITIS, RIGHT EYE",2
H10.223,"PSEUDOMEMBRANOUS CONJUNCTIVITIS, BILATERAL",2
H10.229,"PSEUDOMEMBRANOUS CONJUNCTIVITIS, UNSPECIFIED EYE",1
H10.231,"SEROUS CONJUNCTIVITIS, EXCEPT VIRAL, RIGHT EYE",6
H10.232,"SEROUS CONJUNCTIVITIS, EXCEPT VIRAL, LEFT EYE",11
H10.233,"SEROUS CONJUNCTIVITIS, EXCEPT VIRAL, BILATERAL",18
H10.30,"UNSPECIFIED ACUTE CONJUNCTIVITIS, UNSPECIFIED EYE",1014
H10.31,"UNSPECIFIED ACUTE CONJUNCTIVITIS, RIGHT EYE",7055
H10.32,"UNSPECIFIED ACUTE CONJUNCTIVITIS, LEFT EYE",6995
H10.33,"UNSPECIFIED ACUTE CONJUNCTIVITIS, BILATERAL",13144
H10.401,"UNSPECIFIED CHRONIC CONJUNCTIVITIS, RIGHT EYE",36
H10.402,"UNSPECIFIED CHRONIC CONJUNCTIVITIS, LEFT EYE",89
H10.403,"UNSPECIFIED CHRONIC CONJUNCTIVITIS, BILATERAL",81
H10.409,"UNSPECIFIED CHRONIC CONJUNCTIVITIS, UNSPECIFIED EYE",10
H10.412,"CHRONIC GIANT PAPILLARY CONJUNCTIVITIS, LEFT EYE",1
H10.413,"CHRONIC GIANT PAPILLARY CONJUNCTIVITIS, BILATERAL",6
H10.419,"CHRONIC GIANT PAPILLARY CONJUNCTIVITIS, UNSPECIFIED EYE",2
H10.423,"SIMPLE CHRONIC CONJUNCTIVITIS, BILATERAL",3
H10.433,"CHRONIC FOLLICULAR CONJUNCTIVITIS, BILATERAL",4
H10.44,VERNAL CONJUNCTIVITIS,16
H10.45,OTHER CHRONIC ALLERGIC CONJUNCTIVITIS,140
H10.501,"UNSPECIFIED BLEPHAROCONJUNCTIVITIS, RIGHT EYE",59
H10.502,"UNSPECIFIED BLEPHAROCONJUNCTIVITIS, LEFT EYE",54
H10.503,"UNSPECIFIED BLEPHAROCONJUNCTIVITIS, BILATERAL",73
H10.509,"UNSPECIFIED BLEPHAROCONJUNCTIVITIS, UNSPECIFIED EYE",5
H10.521,"ANGULAR BLEPHAROCONJUNCTIVITIS, RIGHT EYE",1
H10.523,"ANGULAR BLEPHAROCONJUNCTIVITIS, BILATERAL",1
H10.531,"CONTACT BLEPHAROCONJUNCTIVITIS, RIGHT EYE",2
H10.532,"CONTACT BLEPHAROCONJUNCTIVITIS, LEFT EYE",4
H10.533,"CONTACT BLEPHAROCONJUNCTIVITIS, BILATERAL",8
H10.539,"CONTACT BLEPHAROCONJUNCTIVITIS, UNSPECIFIED EYE",2
H10.811,"PINGUECULITIS, RIGHT EYE",25
H10.812,"PINGUECULITIS, LEFT EYE",20
H10.813,"PINGUECULITIS, BILATERAL",2
H10.819,"PINGUECULITIS, UNSPECIFIED EYE",2
H10.821,"ROSACEA CONJUNCTIVITIS, RIGHT EYE",1
H10.822,"ROSACEA CONJUNCTIVITIS, LEFT EYE",1
H10.823,"ROSACEA CONJUNCTIVITIS, BILATERAL",1
H10.89,OTHER CONJUNCTIVITIS,5765
H10.9,UNSPECIFIED CONJUNCTIVITIS,51472
H11.001,UNSPECIFIED PTERYGIUM OF RIGHT EYE,461
H11.002,UNSPECIFIED PTERYGIUM OF LEFT EYE,463
H11.003,"UNSPECIFIED PTERYGIUM OF EYE, BILATERAL",255
H11.009,UNSPECIFIED PTERYGIUM OF UNSPECIFIED EYE,60
H11.011,AMYLOID PTERYGIUM OF RIGHT EYE,2
H11.012,AMYLOID PTERYGIUM OF LEFT EYE,1
H11.013,"AMYLOID PTERYGIUM OF EYE, BILATERAL",2
H11.021,CENTRAL PTERYGIUM OF RIGHT EYE,3
H11.023,"CENTRAL PTERYGIUM OF EYE, BILATERAL",2
H11.032,DOUBLE PTERYGIUM OF LEFT EYE,1
H11.033,"DOUBLE PTERYGIUM OF EYE, BILATERAL",6
H11.041,"PERIPHERAL PTERYGIUM, STATIONARY, RIGHT EYE",2
H11.042,"PERIPHERAL PTERYGIUM, STATIONARY, LEFT EYE",1
H11.049,"PERIPHERAL PTERYGIUM, STATIONARY, UNSPECIFIED EYE",1
H11.051,"PERIPHERAL PTERYGIUM, PROGRESSIVE, RIGHT EYE",3
H11.052,"PERIPHERAL PTERYGIUM, PROGRESSIVE, LEFT EYE",2
H11.053,"PERIPHERAL PTERYGIUM, PROGRESSIVE, BILATERAL",1
H11.062,RECURRENT PTERYGIUM OF LEFT EYE,4
H11.112,"CONJUNCTIVAL DEPOSITS, LEFT EYE",1
H11.121,"CONJUNCTIVAL CONCRETIONS, RIGHT EYE",1
H11.122,"CONJUNCTIVAL CONCRETIONS, LEFT EYE",1
H11.129,"CONJUNCTIVAL CONCRETIONS, UNSPECIFIED EYE",1
H11.131,"CONJUNCTIVAL PIGMENTATIONS, RIGHT EYE",5
H11.132,"CONJUNCTIVAL PIGMENTATIONS, LEFT EYE",3
H11.133,"CONJUNCTIVAL PIGMENTATIONS, BILATERAL",4
H11.151,"PINGUECULA, RIGHT EYE",130
H11.152,"PINGUECULA, LEFT EYE",120
H11.153,"PINGUECULA, BILATERAL",57
H11.159,"PINGUECULA, UNSPECIFIED EYE",7
H11.211,"CONJUNCTIVAL ADHESIONS AND STRANDS (LOCALIZED), RIGHT EYE",1
H11.212,"CONJUNCTIVAL ADHESIONS AND STRANDS (LOCALIZED), LEFT EYE",1
H11.219,"CONJUNCTIVAL ADHESIONS AND STRANDS (LOCALIZED), UNSP EYE",1
H11.221,"CONJUNCTIVAL GRANULOMA, RIGHT EYE",4
H11.222,"CONJUNCTIVAL GRANULOMA, LEFT EYE",8
H11.229,"CONJUNCTIVAL GRANULOMA, UNSPECIFIED",2
H11.231,"SYMBLEPHARON, RIGHT EYE",2
H11.233,"SYMBLEPHARON, BILATERAL",1
H11.241,"SCARRING OF CONJUNCTIVA, RIGHT EYE",2
H11.242,"SCARRING OF CONJUNCTIVA, LEFT EYE",1
H11.30,"CONJUNCTIVAL HEMORRHAGE, UNSPECIFIED EYE",697
H11.31,"CONJUNCTIVAL HEMORRHAGE, RIGHT EYE",8036
H11.32,"CONJUNCTIVAL HEMORRHAGE, LEFT EYE",8470
H11.33,"CONJUNCTIVAL HEMORRHAGE, BILATERAL",797
H11.411,"VASCULAR ABNORMALITIES OF CONJUNCTIVA, RIGHT EYE",4
H11.412,"VASCULAR ABNORMALITIES OF CONJUNCTIVA, LEFT EYE",2
H11.413,"VASCULAR ABNORMALITIES OF CONJUNCTIVA, BILATERAL",7
H11.421,"CONJUNCTIVAL EDEMA, RIGHT EYE",812
H11.422,"CONJUNCTIVAL EDEMA, LEFT EYE",816
H11.423,"CONJUNCTIVAL EDEMA, BILATERAL",243
H11.429,"CONJUNCTIVAL EDEMA, UNSPECIFIED EYE",49
H11.431,"CONJUNCTIVAL HYPEREMIA, RIGHT EYE",174
H11.432,"CONJUNCTIVAL HYPEREMIA, LEFT EYE",158
H11.433,"CONJUNCTIVAL HYPEREMIA, BILATERAL",297
H11.439,"CONJUNCTIVAL HYPEREMIA, UNSPECIFIED EYE",81
H11.441,"CONJUNCTIVAL CYSTS, RIGHT EYE",24
H11.442,"CONJUNCTIVAL CYSTS, LEFT EYE",51
H11.443,"CONJUNCTIVAL CYSTS, BILATERAL",1
H11.449,"CONJUNCTIVAL CYSTS, UNSPECIFIED EYE",1
H11.811,"PSEUDOPTERYGIUM OF CONJUNCTIVA, RIGHT EYE",1
H11.821,"CONJUNCTIVOCHALASIS, RIGHT EYE",2
H11.822,"CONJUNCTIVOCHALASIS, LEFT EYE",3
H11.823,"CONJUNCTIVOCHALASIS, BILATERAL",2
H11.829,"CONJUNCTIVOCHALASIS, UNSPECIFIED EYE",2
H11.89,OTHER SPECIFIED DISORDERS OF CONJUNCTIVA,265
H11.9,UNSPECIFIED DISORDER OF CONJUNCTIVA,137
H15.001,"UNSPECIFIED SCLERITIS, RIGHT EYE",126
H15.002,"UNSPECIFIED SCLERITIS, LEFT EYE",110
H15.003,"UNSPECIFIED SCLERITIS, BILATERAL",53
H15.009,"UNSPECIFIED SCLERITIS, UNSPECIFIED EYE",18
H15.011,"ANTERIOR SCLERITIS, RIGHT EYE",13
H15.012,"ANTERIOR SCLERITIS, LEFT EYE",23
H15.013,"ANTERIOR SCLERITIS, BILATERAL",3
H15.019,"ANTERIOR SCLERITIS, UNSPECIFIED EYE",1
H15.031,"POSTERIOR SCLERITIS, RIGHT EYE",3
H15.032,"POSTERIOR SCLERITIS, LEFT EYE",2
H15.033,"POSTERIOR SCLERITIS, BILATERAL",1
H15.041,"SCLERITIS WITH CORNEAL INVOLVEMENT, RIGHT EYE",2
H15.043,"SCLERITIS WITH CORNEAL INVOLVEMENT, BILATERAL",3
H15.051,"SCLEROMALACIA PERFORANS, RIGHT EYE",1
H15.091,"OTHER SCLERITIS, RIGHT EYE",10
H15.092,"OTHER SCLERITIS, LEFT EYE",7
H15.093,"OTHER SCLERITIS, BILATERAL",2
H15.101,"UNSPECIFIED EPISCLERITIS, RIGHT EYE",167
H15.102,"UNSPECIFIED EPISCLERITIS, LEFT EYE",139
H15.103,"UNSPECIFIED EPISCLERITIS, BILATERAL",62
H15.109,"UNSPECIFIED EPISCLERITIS, UNSPECIFIED EYE",21
H15.121,"NODULAR EPISCLERITIS, RIGHT EYE",5
H15.122,"NODULAR EPISCLERITIS, LEFT EYE",6
H15.123,"NODULAR EPISCLERITIS, BILATERAL",2
H15.129,"NODULAR EPISCLERITIS, UNSPECIFIED EYE",1
H15.821,"LOCALIZED ANTERIOR STAPHYLOMA, RIGHT EYE",1
H15.822,"LOCALIZED ANTERIOR STAPHYLOMA, LEFT EYE",1
H15.823,"LOCALIZED ANTERIOR STAPHYLOMA, BILATERAL",1
H15.831,"STAPHYLOMA POSTICUM, RIGHT EYE",1
H15.832,"STAPHYLOMA POSTICUM, LEFT EYE",2
H15.833,"STAPHYLOMA POSTICUM, BILATERAL",2
H15.841,"SCLERAL ECTASIA, RIGHT EYE",2
H15.842,"SCLERAL ECTASIA, LEFT EYE",1
H15.843,"SCLERAL ECTASIA, BILATERAL",12
H15.849,"SCLERAL ECTASIA, UNSPECIFIED EYE",2
H15.851,"RING STAPHYLOMA, RIGHT EYE",1
H15.89,OTHER DISORDERS OF SCLERA,183
H15.9,UNSPECIFIED DISORDER OF SCLERA,42
H16.001,"UNSPECIFIED CORNEAL ULCER, RIGHT EYE",1448
H16.002,"UNSPECIFIED CORNEAL ULCER, LEFT EYE",1504
H16.003,"UNSPECIFIED CORNEAL ULCER, BILATERAL",120
H16.009,"UNSPECIFIED CORNEAL ULCER, UNSPECIFIED EYE",53
H16.011,"CENTRAL CORNEAL ULCER, RIGHT EYE",43
H16.012,"CENTRAL CORNEAL ULCER, LEFT EYE",68
H16.013,"CENTRAL CORNEAL ULCER, BILATERAL",3
H16.019,"CENTRAL CORNEAL ULCER, UNSPECIFIED EYE",1
H16.021,"RING CORNEAL ULCER, RIGHT EYE",40
H16.022,"RING CORNEAL ULCER, LEFT EYE",36
H16.023,"RING CORNEAL ULCER, BILATERAL",1
H16.029,"RING CORNEAL ULCER, UNSPECIFIED EYE",7
H16.031,"CORNEAL ULCER WITH HYPOPYON, RIGHT EYE",25
H16.032,"CORNEAL ULCER WITH HYPOPYON, LEFT EYE",20
H16.041,"MARGINAL CORNEAL ULCER, RIGHT EYE",17
H16.042,"MARGINAL CORNEAL ULCER, LEFT EYE",18
H16.043,"MARGINAL CORNEAL ULCER, BILATERAL",15
H16.049,"MARGINAL CORNEAL ULCER, UNSPECIFIED EYE",2
