ICDCMCode,ExtCauseDesc,TotalEcm
V48.9XXA,"UNSP CAR OCCUPANT INJURED IN NONCLSN TRNSP ACC IN TRAF, INIT",267
V48.9XXD,"UNSP CAR OCCUPANT INJURED IN NONCLSN TRNSP ACC IN TRAF, SUBS",18
V48.9XXS,"UNSP CAR OCC INJURED IN NONCLSN TRNSP ACC IN TRAF, SEQUELA",1
V49.00XA,"DRIVER INJURED IN COLLISION W UNSP MV NONTRAF, INIT",477
V49.00XD,"DRIVER INJURED IN COLLISION W UNSP MV NONTRAF, SUBS",3
V49.09XA,"DRIVER INJURED IN COLLISION W OTH MV NONTRAF, INIT",328
V49.09XD,"DRIVER INJURED IN COLLISION W OTH MV NONTRAF, SUBS",1
V49.10XA,"PASSENGER INJURED IN COLLISION W UNSP MV NONTRAF, INIT",201
V49.19XA,"PASSENGER INJURED IN COLLISION W OTH MV NONTRAF, INIT",107
V49.19XD,"PASSENGER INJURED IN COLLISION W OTH MV NONTRAF, SUBS",1
V49.20XA,"UNSP CAR OCCUPANT INJURED IN CLSN W UNSP MV NONTRAF, INIT",72
V49.29XA,"UNSP CAR OCCUPANT INJURED IN CLSN W OTH MV NONTRAF, INIT",25
V49.29XD,"UNSP CAR OCCUPANT INJURED IN CLSN W OTH MV NONTRAF, SUBS",1
V49.3XXA,"CAR OCCUPANT (DRIVER) INJURED IN UNSP NONTRAF, INIT",447
V49.3XXD,"CAR OCCUPANT (DRIVER) INJURED IN UNSP NONTRAF, SUBS",6
V49.3XXS,"CAR OCCUPANT (DRIVER) INJURED IN UNSP NONTRAF, SEQUELA",1
V49.40XA,"DRIVER INJURED IN COLLISION W UNSP MV IN TRAF, INIT",29026
V49.40XD,"DRIVER INJURED IN COLLISION W UNSP MV IN TRAF, SUBS",117
V49.40XS,"DRIVER INJURED IN COLLISION W UNSP MV IN TRAF, SEQUELA",3
V49.49XA,"DRIVER INJURED IN COLLISION W OTH MV IN TRAF, INIT",9057
V49.49XD,"DRIVER INJURED IN COLLISION W OTH MV IN TRAF, SUBS",58
V49.49XS,"DRIVER INJURED IN COLLISION W OTH MV IN TRAF, SEQUELA",5
V49.50XA,"PASSENGER INJURED IN COLLISION W UNSP MV IN TRAF, INIT",14883
V49.50XD,"PASSENGER INJURED IN COLLISION W UNSP MV IN TRAF, SUBS",61
V49.50XS,"PASSENGER INJURED IN COLLISION W UNSP MV IN TRAF, SEQUELA",3
V49.59XA,"PASSENGER INJURED IN COLLISION W OTH MV IN TRAF, INIT",3646
V49.59XD,"PASSENGER INJURED IN COLLISION W OTH MV IN TRAF, SUBS",18
V49.59XS,"PASSENGER INJURED IN COLLISION W OTH MV IN TRAF, SEQUELA",1
V49.60XA,"UNSP CAR OCCUPANT INJURED IN CLSN W UNSP MV IN TRAF, INIT",2062
V49.60XD,"UNSP CAR OCCUPANT INJURED IN CLSN W UNSP MV IN TRAF, SUBS",104
V49.60XS,"UNSP CAR OCCUPANT INJURED IN CLSN W UNSP MV IN TRAF, SEQUELA",21
V49.69XA,"UNSP CAR OCCUPANT INJURED IN CLSN W OTH MV IN TRAF, INIT",370
V49.69XD,"UNSP CAR OCCUPANT INJURED IN CLSN W OTH MV IN TRAF, SUBS",11
V49.69XS,"UNSP CAR OCCUPANT INJURED IN CLSN W OTH MV IN TRAF, SEQUELA",1
V49.81XA,"CAR OCCUPANT INJURED IN TRNSP ACC W MILITARY VEHICLE, INIT",14
V49.88XA,"CAR OCCUPANT (DRIVER) INJURED IN OTH TRANSPORT ACC, INIT",3293
V49.88XD,"CAR OCCUPANT (DRIVER) INJURED IN OTH TRANSPORT ACC, SUBS",30
V49.88XS,"CAR OCCUPANT (DRIVER) INJURED IN OTH TRANSPORT ACC, SEQUELA",1
V49.9XXA,"CAR OCCUPANT (DRIVER) (PASSENGER) INJURED IN UNSP TRAF, INIT",11277
V49.9XXD,"CAR OCCUPANT (DRIVER) (PASSENGER) INJURED IN UNSP TRAF, SUBS",784
V49.9XXS,"CAR OCCUPANT (DRIVER) INJURED IN UNSP TRAF, SEQUELA",158
V50.0XXA,"DRIVER OF PK-UP/VAN INJURED IN CLSN W PED/ANML NONTRAF, INIT",6
V50.1XXA,"PASNGR IN PK-UP/VAN INJURED IN CLSN W PED/ANML NONTRAF, INIT",4
V50.2XXA,"PERSON OUTSD PK-UP/VAN INJ IN CLSN W PED/ANML NONTRAF, INIT",2
V50.5XXA,"DRIVER OF PK-UP/VAN INJURED IN CLSN W PED/ANML IN TRAF, INIT",10
V50.6XXA,"PASNGR IN PK-UP/VAN INJURED IN CLSN W PED/ANML IN TRAF, INIT",4
V50.7XXA,"PERSON OUTSD PK-UP/VAN INJ IN CLSN W PED/ANML IN TRAF, INIT",6
V50.9XXA,"OCCUP OF PK-UP/VAN INJURED IN CLSN W PED/ANML IN TRAF, INIT",1
V52.0XXA,"DRIVER OF PK-UP/VAN INJ IN CLSN W 2/3-WHL MV NONTRAF, INIT",1
V52.5XXA,"DRIVER OF PK-UP/VAN INJ IN CLSN W 2/3-WHL MV IN TRAF, INIT",9
V52.6XXA,"PASNGR IN PK-UP/VAN INJ IN CLSN W 2/3-WHL MV IN TRAF, INIT",7
V53.0XXA,"DRIVER OF PK-UP/VAN INJ PK-UP TRUCK, PK-UP/VAN NONTRAF, INIT",38
V53.1XXA,"PASNGR IN PK-UP/VAN INJ PK-UP TRUCK, PK-UP/VAN NONTRAF, INIT",10
V53.2XXA,"PRSN OUTSD PK-UP/VAN INJ PK-UP TRUCK,PK-UP/VAN NONTRAF, INIT",2
V53.3XXA,"OCCUP OF PK-UP/VAN INJ PK-UP TRUCK, PK-UP/VAN NONTRAF, INIT",2
V53.4XXA,"PRSN BRD/ALIT PK-UP/VAN INJ PICK-UP TRUCK, PK-UP/VAN, INIT",5
V53.5XXA,"DRIVER OF PK-UP/VAN INJ PK-UP TRUCK, PK-UP/VAN IN TRAF, INIT",1356
V53.5XXD,"DRIVER OF PK-UP/VAN INJ PK-UP TRUCK, PK-UP/VAN IN TRAF, SUBS",4
V53.5XXS,"DRIVER OF PK-UP/VAN INJ PK-UP TRUCK, PK-UP/VAN IN TRAF, SQLA",2
V53.6XXA,"PASNGR IN PK-UP/VAN INJ PK-UP TRUCK, PK-UP/VAN IN TRAF, INIT",667
V53.6XXD,"PASNGR IN PK-UP/VAN INJ PK-UP TRUCK, PK-UP/VAN IN TRAF, SUBS",1
V53.7XXA,"PRSN OUTSD PK-UP/VAN INJ PK-UP TRUCK,PK-UP/VAN IN TRAF, INIT",5
V53.9XXA,"OCCUP OF PK-UP/VAN INJ PK-UP TRUCK, PK-UP/VAN IN TRAF, INIT",33
V53.9XXD,"OCCUP OF PK-UP/VAN INJ PK-UP TRUCK, PK-UP/VAN IN TRAF, SUBS",2
V54.0XXA,"DRIVER OF PK-UP/VAN INJURED IN CLSN W HV VEH NONTRAF, INIT",6
V54.1XXA,"PASNGR IN PK-UP/VAN INJURED IN CLSN W HV VEH NONTRAF, INIT",2
V54.4XXA,"PRSN BRD/ALIT PK-UP/VAN INJURED IN COLLISION W HV VEH, INIT",1
V54.5XXA,"DRIVER OF PK-UP/VAN INJURED IN CLSN W HV VEH IN TRAF, INIT",120
V54.6XXA,"PASNGR IN PK-UP/VAN INJURED IN CLSN W HV VEH IN TRAF, INIT",48
V54.9XXA,"OCCUP OF PK-UP/VAN INJURED IN CLSN W HV VEH IN TRAF, INIT",2
V55.5XXA,"DRIVER OF PK-UP/VAN INJ IN CLSN W RAIL TRN/VEH IN TRAF, INIT",3
V55.6XXA,"PASNGR IN PK-UP/VAN INJ IN CLSN W RAIL TRN/VEH IN TRAF, INIT",1
V56.0XXA,"DRIVER OF PK-UP/VAN INJ IN CLSN W NONMTR VEH NONTRAF, INIT",1
V56.1XXA,"PASNGR IN PK-UP/VAN INJ IN CLSN W NONMTR VEH NONTRAF, INIT",1
V56.5XXA,"DRIVER OF PK-UP/VAN INJ IN CLSN W NONMTR VEH IN TRAF, INIT",5
V56.6XXA,"PASNGR IN PK-UP/VAN INJ IN CLSN W NONMTR VEH IN TRAF, INIT",6
V56.9XXA,"OCCUP OF PK-UP/VAN INJ IN CLSN W NONMTR VEH IN TRAF, INIT",1
V57.0XXA,"DRVR OF PK-UP/VAN INJ IN CLSN W STATNRY OBJECT NONTRAF, INIT",37
V57.1XXA,"PASNGR IN PK-UP/VAN INJ IN CLSN W STATNRY OBJ NONTRAF, INIT",13
V57.4XXA,"PRSN BRD/ALIT PK-UP/VAN INJ IN CLSN W STATNRY OBJECT, INIT",2
V57.5XXA,"DRVR OF PK-UP/VAN INJ IN CLSN W STATNRY OBJECT IN TRAF, INIT",252
V57.5XXD,"DRVR OF PK-UP/VAN INJ IN CLSN W STATNRY OBJECT IN TRAF, SUBS",1
V57.6XXA,"PASNGR IN PK-UP/VAN INJ IN CLSN W STATNRY OBJ IN TRAF, INIT",88
V57.7XXA,"PRSN OUTSD PK-UP/VAN INJ IN CLSN W STATNRY OBJ IN TRAF, INIT",1
V57.9XXA,"OCCUP OF PK-UP/VAN INJ IN CLSN W STATNRY OBJ IN TRAF, INIT",5
V58.0XXA,"DRIVER OF PK-UP/VAN INJ IN NONCLSN TRNSP ACC NONTRAF, INIT",65
V58.1XXA,"PASNGR IN PK-UP/VAN INJ IN NONCLSN TRNSP ACC NONTRAF, INIT",25
V58.2XXA,"PRSN OUTSD PK-UP/VAN INJ IN NONCLSN TRNSP ACC NONTRAF, INIT",71
V58.2XXD,"PRSN OUTSD PK-UP/VAN INJ IN NONCLSN TRNSP ACC NONTRAF, SUBS",1
V58.3XXA,"OCCUP OF PK-UP/VAN INJ IN NONCLSN TRNSP ACC NONTRAF, INIT",15
V58.4XXA,"PRSN BRD/ALIT PK-UP/VAN INJURED IN NONCLSN TRNSP ACC, INIT",514
V58.4XXD,"PRSN BRD/ALIT PK-UP/VAN INJURED IN NONCLSN TRNSP ACC, SUBS",4
V58.5XXA,"DRIVER OF PK-UP/VAN INJ IN NONCLSN TRNSP ACC IN TRAF, INIT",199
V58.6XXA,"PASNGR IN PK-UP/VAN INJ IN NONCLSN TRNSP ACC IN TRAF, INIT",126
V58.6XXD,"PASNGR IN PK-UP/VAN INJ IN NONCLSN TRNSP ACC IN TRAF, SUBS",2
V58.6XXS,"PASNGR IN PK-UP/VAN INJ IN NONCLSN TRNSP ACC IN TRAF, SQLA",1
V58.7XXA,"PRSN OUTSD PK-UP/VAN INJ IN NONCLSN TRNSP ACC IN TRAF, INIT",8
V58.9XXA,"OCCUP OF PK-UP/VAN INJ IN NONCLSN TRNSP ACC IN TRAF, INIT",33
V58.9XXD,"OCCUP OF PK-UP/VAN INJ IN NONCLSN TRNSP ACC IN TRAF, SUBS",1
V58.9XXS,"OCCUP OF PK-UP/VAN INJ IN NONCLSN TRNSP ACC IN TRAF, SEQUELA",1
V59.00XA,"DRIVER OF PK-UP/VAN INJURED IN CLSN W UNSP MV NONTRAF, INIT",8
V59.09XA,"DRIVER OF PK-UP/VAN INJURED IN CLSN W OTH MV NONTRAF, INIT",6
V59.10XA,"PASNGR IN PK-UP/VAN INJURED IN CLSN W UNSP MV NONTRAF, INIT",8
V59.19XA,"PASNGR IN PK-UP/VAN INJURED IN CLSN W OTH MV NONTRAF, INIT",3
V59.20XA,"OCCUP OF PK-UP/VAN INJURED IN CLSN W UNSP MV NONTRAF, INIT",3
V59.3XXA,"OCCUPANT (DRIVER) OF PK-UP/VAN INJURED IN UNSP NONTRAF, INIT",16
V59.40XA,"DRIVER OF PK-UP/VAN INJURED IN CLSN W UNSP MV IN TRAF, INIT",575
V59.40XD,"DRIVER OF PK-UP/VAN INJURED IN CLSN W UNSP MV IN TRAF, SUBS",1
V59.49XA,"DRIVER OF PK-UP/VAN INJURED IN CLSN W OTH MV IN TRAF, INIT",149
V59.49XD,"DRIVER OF PK-UP/VAN INJURED IN CLSN W OTH MV IN TRAF, SUBS",1
V59.50XA,"PASNGR IN PK-UP/VAN INJURED IN CLSN W UNSP MV IN TRAF, INIT",364
V59.59XA,"PASNGR IN PK-UP/VAN INJURED IN CLSN W OTH MV IN TRAF, INIT",86
V59.60XA,"OCCUP OF PK-UP/VAN INJURED IN CLSN W UNSP MV IN TRAF, INIT",32
V59.60XD,"OCCUP OF PK-UP/VAN INJURED IN CLSN W UNSP MV IN TRAF, SUBS",1
V59.69XA,"OCCUP OF PK-UP/VAN INJURED IN CLSN W OTH MV IN TRAF, INIT",3
V59.81XA,"OCC OF PK-UP/VAN INJURED IN TRNSP ACC W MILTRY VEHICLE, INIT",1
V59.88XA,"OCCUPANT OF PK-UP/VAN INJURED IN OTH TRNSP ACC, INIT",109
V59.88XD,"OCCUPANT OF PK-UP/VAN INJURED IN OTH TRNSP ACC, SUBS",1
V59.88XS,"OCCUPANT OF PK-UP/VAN INJURED IN OTH TRNSP ACC, SEQUELA",1
V59.9XXA,"OCCUPANT (DRIVER) OF PK-UP/VAN INJURED IN UNSP TRAF, INIT",237
V59.9XXD,"OCCUPANT (DRIVER) OF PK-UP/VAN INJURED IN UNSP TRAF, SUBS",3
V60.2XXA,"PERSON OUTSIDE HV VEH INJ IN CLSN W PED/ANML NONTRAF, INIT",2
V60.5XXA,"DRIVER OF HV VEH INJURED IN CLSN W PED/ANML IN TRAF, INIT",4
V60.7XXA,"PERSON OUTSIDE HV VEH INJ IN CLSN W PED/ANML IN TRAF, INIT",1
V61.0XXA,"DRIVER OF HV VEH INJURED IN CLSN W PEDL CYC NONTRAF, INIT",1
V62.5XXA,"DRIVER OF HV VEH INJURED IN CLSN W 2/3-WHL MV IN TRAF, INIT",1
V63.0XXA,"DRIVER OF HV VEH INJ PICK-UP TRUCK, PK-UP/VAN NONTRAF, INIT",10
V63.1XXA,"PASNGR IN HV VEH INJ PICK-UP TRUCK, PK-UP/VAN NONTRAF, INIT",9
V63.3XXA,"OCCUP OF HV VEH INJ PICK-UP TRUCK, PK-UP/VAN NONTRAF, INIT",3
V63.4XXA,"PRSN BRD/ALIT HV VEH INJURED PICK-UP TRUCK, PK-UP/VAN, INIT",1
V63.5XXA,"DRIVER OF HV VEH INJ PICK-UP TRUCK, PK-UP/VAN IN TRAF, INIT",260
V63.5XXD,"DRIVER OF HV VEH INJ PICK-UP TRUCK, PK-UP/VAN IN TRAF, SUBS",1
V63.6XXA,"PASNGR IN HV VEH INJ PICK-UP TRUCK, PK-UP/VAN IN TRAF, INIT",82
V63.7XXA,"PERSON OUTSD HV VEH INJ PK-UP TRUCK, PK-UP/VAN IN TRAF, INIT",4
V63.9XXA,"OCCUP OF HV VEH INJ PICK-UP TRUCK, PK-UP/VAN IN TRAF, INIT",18
V64.0XXA,"DRIVER OF HV VEH INJURED IN COLLISION W HV VEH NONTRAF, INIT",5
V64.1XXA,"PASSENGER IN HV VEH INJURED IN CLSN W HV VEH NONTRAF, INIT",2
V64.3XXA,"OCCUP OF HV VEH INJURED IN COLLISION W HV VEH NONTRAF, INIT",2
V64.4XXA,"PRSN BRD/ALIT HV VEH INJ IN CLSN W HV VEH WH BRD/ALIT, INIT",3
V64.4XXD,"PRSN BRD/ALIT HV VEH INJ IN CLSN W HV VEH WH BRD/ALIT, SUBS",1
V64.5XXA,"DRIVER OF HV VEH INJURED IN COLLISION W HV VEH IN TRAF, INIT",91
V64.6XXA,"PASSENGER IN HV VEH INJURED IN CLSN W HV VEH IN TRAF, INIT",25
V64.7XXA,"PERSON OUTSIDE HV VEH INJURED IN CLSN W HV VEH IN TRAF, INIT",1
V64.9XXA,"OCCUP OF HV VEH INJURED IN COLLISION W HV VEH IN TRAF, INIT",6
V64.9XXD,"OCCUP OF HV VEH INJURED IN COLLISION W HV VEH IN TRAF, SUBS",1
V65.5XXA,"DRIVER OF HV VEH INJ IN CLSN W RAIL TRN/VEH IN TRAF, INIT",2
V66.3XXA,"OCCUP OF HV VEH INJ IN CLSN W NONMTR VEHICLE NONTRAF, INIT",1
V66.5XXA,"DRIVER OF HV VEH INJ IN CLSN W NONMTR VEHICLE IN TRAF, INIT",4
V66.7XXA,"PERSON OUTSD HV VEH INJ IN CLSN W NONMTR VEH IN TRAF, INIT",1
V66.9XXA,"OCCUP OF HV VEH INJ IN CLSN W NONMTR VEHICLE IN TRAF, INIT",1
V67.0XXA,"DRIVER OF HV VEH INJ IN CLSN W STATNRY OBJECT NONTRAF, INIT",13
V67.0XXS,"DRIVER OF HV VEH INJ IN CLSN W STATNRY OBJECT NONTRAF, SQLA",1
V67.1XXA,"PASNGR IN HV VEH INJ IN CLSN W STATNRY OBJECT NONTRAF, INIT",3
V67.2XXA,"PERSON OUTSD HV VEH INJ IN CLSN W STATNRY OBJ NONTRAF, INIT",1
V67.5XXA,"DRIVER OF HV VEH INJ IN CLSN W STATNRY OBJECT IN TRAF, INIT",83
V67.5XXD,"DRIVER OF HV VEH INJ IN CLSN W STATNRY OBJECT IN TRAF, SUBS",1
V67.6XXA,"PASNGR IN HV VEH INJ IN CLSN W STATNRY OBJECT IN TRAF, INIT",6
V67.9XXA,"OCCUP OF HV VEH INJ IN CLSN W STATNRY OBJECT IN TRAF, INIT",2
V68.0XXA,"DRIVER OF HV VEH INJURED IN NONCLSN TRNSP ACC NONTRAF, INIT",41
V68.1XXA,"PASNGR IN HV VEH INJURED IN NONCLSN TRNSP ACC NONTRAF, INIT",5
V68.2XXA,"PERSON OUTSIDE HV VEH INJ IN NONCLSN TRNSP ACC NONTRAF, INIT",3
V68.3XXA,"OCCUP OF HV VEH INJURED IN NONCLSN TRNSP ACC NONTRAF, INIT",9
V68.4XXA,"PRSN BRD/ALIT HV VEH INJURED IN NONCLSN TRNSP ACCIDENT, INIT",122
V68.4XXD,"PRSN BRD/ALIT HV VEH INJURED IN NONCLSN TRNSP ACCIDENT, SUBS",2
V68.5XXA,"DRIVER OF HV VEH INJURED IN NONCLSN TRNSP ACC IN TRAF, INIT",114
V68.5XXD,"DRIVER OF HV VEH INJURED IN NONCLSN TRNSP ACC IN TRAF, SUBS",4
V68.6XXA,"PASNGR IN HV VEH INJURED IN NONCLSN TRNSP ACC IN TRAF, INIT",28
V68.7XXA,"PERSON OUTSIDE HV VEH INJ IN NONCLSN TRNSP ACC IN TRAF, INIT",7
V68.9XXA,"OCCUP OF HV VEH INJURED IN NONCLSN TRNSP ACC IN TRAF, INIT",19
V68.9XXD,"OCCUP OF HV VEH INJURED IN NONCLSN TRNSP ACC IN TRAF, SUBS",1
V69.00XA,"DRIVER OF HV VEH INJURED IN CLSN W UNSP MV NONTRAF, INIT",11
V69.09XA,"DRIVER OF HV VEH INJURED IN COLLISION W OTH MV NONTRAF, INIT",3
V69.10XA,"PASSENGER IN HV VEH INJURED IN CLSN W UNSP MV NONTRAF, INIT",2
V69.20XA,"OCCUP OF HV VEH INJURED IN COLLISION W UNSP MV NONTRAF, INIT",2
V69.3XXA,"OCCUPANT (DRIVER) OF HV VEH INJURED IN UNSP NONTRAF, INIT",23
V69.40XA,"DRIVER OF HV VEH INJURED IN CLSN W UNSP MV IN TRAF, INIT",150
V69.40XD,"DRIVER OF HV VEH INJURED IN CLSN W UNSP MV IN TRAF, SUBS",1
V69.49XA,"DRIVER OF HV VEH INJURED IN COLLISION W OTH MV IN TRAF, INIT",65
V69.49XD,"DRIVER OF HV VEH INJURED IN COLLISION W OTH MV IN TRAF, SUBS",1
V69.50XA,"PASSENGER IN HV VEH INJURED IN CLSN W UNSP MV IN TRAF, INIT",48
V69.50XD,"PASSENGER IN HV VEH INJURED IN CLSN W UNSP MV IN TRAF, SUBS",2
V69.59XA,"PASSENGER IN HV VEH INJURED IN CLSN W OTH MV IN TRAF, INIT",10
V69.60XA,"OCCUP OF HV VEH INJURED IN COLLISION W UNSP MV IN TRAF, INIT",9
V69.69XA,"OCCUP OF HV VEH INJURED IN COLLISION W OTH MV IN TRAF, INIT",9
V69.88XA,"OCCUPANT (DRIVER) OF HV VEH INJURED IN OTH TRNSP ACC, INIT",58
V69.88XD,"OCCUPANT (DRIVER) OF HV VEH INJURED IN OTH TRNSP ACC, SUBS",1
V69.9XXA,"OCCUPANT (DRIVER) OF HV VEH INJURED IN UNSP TRAF, INIT",100
V69.9XXD,"OCCUPANT (DRIVER) OF HV VEH INJURED IN UNSP TRAF, SUBS",5
V69.9XXS,"OCCUPANT (DRIVER) OF HV VEH INJURED IN UNSP TRAF, SEQUELA",1
V70.5XXA,"DRIVER OF BUS INJURED IN COLLISION W PED/ANML IN TRAF, INIT",1
V70.7XXA,"PERSON OUTSIDE BUS INJURED IN CLSN W PED/ANML IN TRAF, INIT",3
V70.9XXA,"OCCUP OF BUS INJURED IN COLLISION W PED/ANML IN TRAF, INIT",2
V72.0XXA,"DRIVER OF BUS INJURED IN CLSN W 2/3-WHL MV NONTRAF, INIT",1
V73.0XXA,"DRIVER OF BUS INJURED PICK-UP TRUCK, PK-UP/VAN NONTRAF, INIT",6
V73.1XXA,"PASNGR ON BUS INJURED PICK-UP TRUCK, PK-UP/VAN NONTRAF, INIT",5
V73.4XXA,"PRSN BRD/ALIT FROM BUS INJ PICK-UP TRUCK, PK-UP/VAN, INIT",2
V73.5XXA,"DRIVER OF BUS INJURED PICK-UP TRUCK, PK-UP/VAN IN TRAF, INIT",116
V73.6XXA,"PASNGR ON BUS INJURED PICK-UP TRUCK, PK-UP/VAN IN TRAF, INIT",271
V73.6XXD,"PASNGR ON BUS INJURED PICK-UP TRUCK, PK-UP/VAN IN TRAF, SUBS",4
V73.9XXA,"OCCUP OF BUS INJURED PICK-UP TRUCK, PK-UP/VAN IN TRAF, INIT",13
V74.0XXA,"DRIVER OF BUS INJURED IN COLLISION W HV VEH NONTRAF, INIT",2
V74.1XXA,"PASSENGER ON BUS INJURED IN COLLISION W HV VEH NONTRAF, INIT",5
V74.1XXD,"PASSENGER ON BUS INJURED IN COLLISION W HV VEH NONTRAF, SUBS",1
V74.4XXA,"PRSN BRD/ALIT FROM BUS INJURED IN COLLISION W HV VEH, INIT",8
V74.5XXA,"DRIVER OF BUS INJURED IN COLLISION W HV VEH IN TRAF, INIT",12
V74.6XXA,"PASSENGER ON BUS INJURED IN COLLISION W HV VEH IN TRAF, INIT",28
V74.7XXA,"PERSON OUTSIDE BUS INJURED IN CLSN W HV VEH IN TRAF, INIT",1
V74.9XXA,"OCCUP OF BUS INJURED IN COLLISION W HV VEH IN TRAF, INIT",6
V75.6XXA,"PASNGR ON BUS INJURED IN CLSN W RAIL TRN/VEH IN TRAF, INIT",1
V76.1XXA,"PASNGR ON BUS INJURED IN CLSN W NONMTR VEHICLE NONTRAF, INIT",1
V76.4XXA,"PRSN BRD/ALIT FROM BUS INJ IN CLSN W NONMTR VEHICLE, INIT",3
V76.6XXA,"PASNGR ON BUS INJURED IN CLSN W NONMTR VEHICLE IN TRAF, INIT",2
V76.7XXD,"PERSON OUTSD BUS INJ IN CLSN W NONMTR VEHICLE IN TRAF, SUBS",1
V77.0XXA,"DRIVER OF BUS INJURED IN CLSN W STATNRY OBJECT NONTRAF, INIT",1
V77.1XXA,"PASNGR ON BUS INJURED IN CLSN W STATNRY OBJECT NONTRAF, INIT",3
V77.4XXA,"PRSN BRD/ALIT FROM BUS INJ IN CLSN W STATNRY OBJECT, INIT",1
V77.5XXA,"DRIVER OF BUS INJURED IN CLSN W STATNRY OBJECT IN TRAF, INIT",5
V77.6XXA,"PASNGR ON BUS INJURED IN CLSN W STATNRY OBJECT IN TRAF, INIT",34
V77.9XXA,"OCCUP OF BUS INJURED IN CLSN W STATNRY OBJECT IN TRAF, INIT",4
V78.0XXA,"DRIVER OF BUS INJURED IN NONCLSN TRNSP ACC NONTRAF, INIT",5
V78.1XXA,"PASNGR ON BUS INJURED IN NONCLSN TRNSP ACC NONTRAF, INIT",69
V78.1XXS,"PASNGR ON BUS INJURED IN NONCLSN TRNSP ACC NONTRAF, SEQUELA",1
V78.2XXA,"PERSON OUTSIDE BUS INJ IN NONCLSN TRNSP ACC NONTRAF, INIT",2
V78.3XXA,"OCCUP OF BUS INJURED IN NONCLSN TRNSP ACCIDENT NONTRAF, INIT",2
V78.4XXA,"PRSN BRD/ALIT FROM BUS INJURED IN NONCLSN TRNSP ACC, INIT",438
V78.4XXD,"PRSN BRD/ALIT FROM BUS INJURED IN NONCLSN TRNSP ACC, SUBS",10
V78.4XXS,"PRSN BRD/ALIT FROM BUS INJURED IN NONCLSN TRNSP ACC, SEQUELA",1
V78.5XXA,"DRIVER OF BUS INJURED IN NONCLSN TRNSP ACC IN TRAF, INIT",16
V78.6XXA,"PASNGR ON BUS INJURED IN NONCLSN TRNSP ACC IN TRAF, INIT",191
V78.6XXD,"PASNGR ON BUS INJURED IN NONCLSN TRNSP ACC IN TRAF, SUBS",2
V78.7XXA,"PERSON OUTSIDE BUS INJ IN NONCLSN TRNSP ACC IN TRAF, INIT",2
V78.9XXA,"OCCUP OF BUS INJURED IN NONCLSN TRNSP ACCIDENT IN TRAF, INIT",11
V79.00XA,"DRIVER OF BUS INJURED IN COLLISION W UNSP MV NONTRAF, INIT",1
V79.10XA,"PASSENGER ON BUS INJURED IN CLSN W UNSP MV NONTRAF, INIT",4
V79.19XA,"PASSENGER ON BUS INJURED IN COLLISION W OTH MV NONTRAF, INIT",1
V79.3XXA,"BUS OCCUPANT (DRIVER) INJURED IN UNSP NONTRAF, INIT",10
V79.40XA,"DRIVER OF BUS INJURED IN COLLISION W UNSP MV IN TRAF, INIT",52
V79.49XA,"DRIVER OF BUS INJURED IN COLLISION W OTH MV IN TRAF, INIT",21
V79.50XA,"PASSENGER ON BUS INJURED IN CLSN W UNSP MV IN TRAF, INIT",165
V79.59XA,"PASSENGER ON BUS INJURED IN COLLISION W OTH MV IN TRAF, INIT",43
V79.60XA,"UNSP BUS OCCUPANT INJURED IN CLSN W UNSP MV IN TRAF, INIT",9
V79.69XA,"UNSP BUS OCCUPANT INJURED IN CLSN W OTH MV IN TRAF, INIT",7
V79.88XA,"BUS OCCUPANT (DRIVER) INJURED IN OTH TRANSPORT ACC, INIT",84
V79.88XD,"BUS OCCUPANT (DRIVER) INJURED IN OTH TRANSPORT ACC, SUBS",2
V79.9XXA,"BUS OCCUPANT (DRIVER) (PASSENGER) INJURED IN UNSP TRAF, INIT",94
V79.9XXD,"BUS OCCUPANT (DRIVER) (PASSENGER) INJURED IN UNSP TRAF, SUBS",8
V79.9XXS,"BUS OCCUPANT (DRIVER) INJURED IN UNSP TRAF, SEQUELA",1
V80.010A,"ANIML-RIDR INJURED BY FALL FR HORSE IN NONCLSN ACC, INIT",3311
V80.010D,"ANIML-RIDR INJURED BY FALL FR HORSE IN NONCLSN ACC, SUBS",51
V80.010S,"ANIML-RIDR INJURED BY FALL FR HORSE IN NONCLSN ACC, SEQUELA",4
V80.018A,"ANIML-RIDR INJURED BY FALL FR ANIML IN NONCLSN ACC, INIT",244
V80.018D,"ANIML-RIDR INJURED BY FALL FR ANIML IN NONCLSN ACC, SUBS",2
V80.02XA,"OCC OF ANML-DRN VEH INJ BY FALL FR VEH IN NONCLSN ACC, INIT",5
V80.11XA,"ANIMAL-RIDER INJURED IN COLLISION W PED/ANML, INIT",9
V80.41XA,"ANIML-RIDR INJ PK-UP TRUCK, PICK-UP TRUCK, VAN, HV VEH, INIT",5
V80.710A,"ANIMAL-RIDER INJURED IN COLLISION W ANIML BEING RIDDEN, INIT",7
V80.81XA,"ANIMAL-RIDER INJURED IN COLLISION W STATNRY OBJECT, INIT",11
V80.918A,"ANIMAL-RIDER INJURED IN OTH TRANSPORT ACCIDENT, INIT ENCNTR",25
V80.919A,"ANIMAL-RIDER INJURED IN UNSP TRANSPORT ACCIDENT, INIT ENCNTR",83
V80.919D,"ANIMAL-RIDER INJURED IN UNSP TRANSPORT ACCIDENT, SUBS ENCNTR",2
